Feature_0;Feature_1;Feature_2;Label
-0,452605227;-0,022774876;-0,091485201;alto
0,217809513;-1,666798361;0,467024824;
-0,680914406;-0,905353219;0,873003374;
-0,151409244;0,086429056;-0,39057418;
-0,05650018;0,717154142;-1,556634749;
-0,270897492;-0,78632298;0,551316401;
-0,70220727;-0,211743379;0,348170345;
-0,492801945;0,919303749;-1,006772786;
-0,069555843;-0,143955293;-0,546181;
-0,084597934;0,038166652;-0,411767412;
-0,446171551;0,46523605;-0,961577639;
0,381149847;0,193312469;-1,083217152;
-0,41119732;-0,386521701;-0,006164905;
-1,752630299;1,418493909;-0,230233719;
-0,15268467;0,927458375;-1,699795357;
-0,097787485;-0,045140857;-0,352711917;
-0,924658862;1,959500157;-1,532677432;
-0,304771823;-0,37147218;-0,112072974;
-0,579533566;0,525585181;-0,816306824;
-1,331797911;1,078099864;-0,225706446;
-1,003356293;1,633099661;-1,273356535;
-0,618391673;0,951408963;-1,196694883;
0,157258218;-1,151907444;0,061773463;
-1,163661226;1,390302932;-0,908871148;
0,057079604;-0,388595515;-0,347984512;
-0,142046741;0,101542091;-0,693197714;
-1,398240929;1,074462298;-0,218024768;
-1,057253256;1,961000442;-1,331562075;
-0,027398822;-0,148266529;-0,424689116;
0,607102738;0,904012236;-2,298046028;
-0,939184017;-0,059705171;0,512811992;
-0,955053135;-0,174773697;0,464710844;
-0,559110296;-0,184143049;0,169859976;
-0,944226449;1,453835328;-1,353744248;
-1,04205026;0,554790713;0,146451355;
-1,536126274;1,705472446;-0,815495416;
-0,037015185;0,785215826;-1,156577262;
-0,733852471;1,986253864;-1,772221789;
-0,454013563;-0,624060024;0,135493969;
-0,22416958;1,219430818;-1,923041471;
-0,537038577;1,053561487;-0,764569595;
-0,609291016;0,471967903;-0,078958429;
-0,96050115;0,635277355;-0,339104334;
-0,275137003;1,434798124;-1,829989453;
-0,528458693;-0,151653517;0,108132557;
-1,463690037;1,146508426;0,255307435;
0,082404646;-0,094510756;-0,354823893;
0,633433201;-0,636311451;-0,762433489;
-0,454924725;-0,368006726;0,216927022;
-1,981382527;2,193878829;-0,956492168;
-0,680870673;-0,693221732;0,675236981;
0,14273184;0,02496529;-0,599316919;
-0,067772868;0,205629613;-0,734791074;
-0,555186176;-0,249175135;0,16382634;
-1,195682936;1,645366084;-1,491896594;
0,104748151;-0,34944815;-0,056925302;
-0,961619215;1,191070154;-0,782977211;
-0,539670478;0,015224876;-0,356253119;
-0,172456273;1,796989416;-2,517788133;
-0,335311244;0,448006546;-0,811568334;
-0,442569386;0,540536453;-0,876816762;
-0,430046456;0,338577534;-0,584754861;
-0,206222508;0,371473966;-1,029961559;
-1,417948434;0,112162656;0,326402646;
-0,658366276;0,769758273;-0,169189782;
-0,615401233;1,144804335;-0,990797549;
-1,147435585;2,132902143;-1,082814505;
0,233894506;1,0470514;-1,605458019;
-1,040877307;0,434802266;-0,148783721;
-0,453857811;0,172593694;-0,104611523;
0,105585719;-0,528982806;-0,044499227;
-0,227383732;0,530664171;-0,873837575;
0,28371606;0,035046897;-1,132267736;
-0,549654335;0,552704457;-0,576090262;
-0,78478913;0,356407841;0,087699972;
-0,519713025;0,347335333;-0,665790046;
0,349324482;-0,384238224;-0,722847646;
-0,792514572;0,620224562;-0,333642667;
-0,41096638;1,870692152;-1,907051738;
-1,4855398;1,687678782;-0,609427394;
-0,479831076;0,924852157;-0,868941571;
-0,874906384;0,740873634;-0,428614489;
0,310197768;-0,985943108;-0,22059027;
-1,304602602;1,190769861;-0,392616791;
-1,293570538;0,857263079;-0,4291422;
-0,867224064;-0,024129623;0,319854602;
0,440715368;-0,891242574;0,889188;
-1,204438574;-0,078697979;0,754008758;
-0,967133628;0,539171095;-0,132759371;
-0,374011863;1,784068552;-1,967430632;
-0,409719187;0,80562674;-0,586055353;
-0,606374483;-0,137867756;-0,24532278;
-0,21063686;1,22066227;-1,312559848;
0,213428991;-0,562315979;-0,18595888;
-0,424248907;0,221056157;-0,247622998;
-0,425983631;0,170690702;-0,4488797;
-0,863470487;0,21934467;0,235534576;
-0,408210028;-0,020243386;-0,014045592;
-0,415992336;-0,001664025;-0,32811627;
-0,437053635;0,182476987;-0,271035345;
-1,288058244;1,071443586;-0,292797562;
0,593190785;-0,682947816;-0,602359134;
-0,060307533;0,158545017;-0,901285498;
-1,194169523;2,450235721;-1,984447035;
-1,228355884;0,16364105;0,331417084;
-0,669129737;-0,398738156;0,442235611;
-0,42293898;1,255421498;-1,232547414;
-0,791396846;0,8811761;-0,622818535;
-1,78002691;1,638595527;-0,317669801;
-0,42993062;0,774639899;-0,8154446;
-0,92229226;1,619433558;-1,180423484;
-0,802422816;-0,026977908;0,485885012;
0,029344865;-0,347091693;-0,567969271;
-1,2250737;1,261525652;-0,493446714;
-0,642082802;1,639645936;-1,530724985;
-0,976370043;1,663350174;-1,215420236;
-0,816988668;-0,295710383;0,471141489;
-0,441466216;-0,403194138;0,201275491;
-0,30438788;1,504827523;-1,884512247;
-0,896800222;1,387784361;-0,950492544;
0,08594205;0,1308431;-0,954068537;
-0,824050056;1,464490903;-1,568806381;
-1,059183937;-0,407903734;0,896157367;
-0,335405841;-0,052098593;-0,171551993;
-0,652318624;0,837069908;-0,480566427;
-0,587385307;0,268762018;-0,409387487;
-0,566755128;1,525196865;-1,561258931;
-0,802332317;-0,370379377;0,621955832;
0,290140798;0,035963367;-1,109611451;
-1,443602158;1,584145734;-0,63864964;
-0,721772177;1,330741388;-1,275224688;
0,390352606;0,91876481;-2,082734237;
-0,53703266;1,106065962;-0,90940345;
0,399089979;-0,555780977;-0,44429883;
-0,501163294;0,399575667;-0,914678728;
-0,242911206;0,083152612;-0,553456701;
-0,89583947;-0,165045245;0,485286552;
-0,078157902;0,769754267;-1,575234046;
-0,110560265;0,228528049;-0,559389141;
-0,08238096;-0,53956472;-0,462033839;
-0,21259893;1,925452944;-2,537889545;
-0,316212009;-0,432360477;0,144647667;
-0,988612861;-0,008748916;0,294248677;
-0,31678698;-0,047477552;-0,586115963;
-1,166365364;-0,482109269;0,991132192;
